customer_id,age,gender,city,email,age_group
C000001,61,Other,Lisbon,user1@example.com,Senior
C000002,61,Female,Coimbra,user2@example.com,Senior
C000003,22,Female,Faro,user3@example.com,Youth (16-24)
C000004,46,Other,Lisbon,Unknown,Middle-aged (46-60)
C000005,47,Other,Faro,user5@example.com,Middle-aged (46-60)
C000006,59,Female,Faro,user6@example.com,Middle-aged (46-60)
C000007,52,Female,Faro,user7@example.com,Middle-aged (46-60)
C000008,59,Other,Lisbon,user8@example.com,Middle-aged (46-60)
C000009,49,Female,Braga,user9@example.com,Middle-aged (46-60)
C000010,48,Male,Braga,user10@example.com,Middle-aged (46-60)
C000011,20,Male,Braga,user11@example.com,Youth (16-24)
C000012,32,Female,Coimbra,user12@example.com,Adult (25-45)
C000013,49,Other,Porto,user13@example.com,Middle-aged (46-60)
C000014,45,Male,Faro,user14@example.com,Adult (25-45)
C000015,18,Male,Faro,user15@example.com,Youth (16-24)
C000016,23,Female,Lisbon,user16@example.com,Youth (16-24)
C000017,27,Female,Faro,user17@example.com,Adult (25-45)
C000018,63,Other,Porto,Unknown,Senior
C000019,52,Female,Porto,user19@example.com,Middle-aged (46-60)
C000020,68,Other,Coimbra,user20@example.com,Senior
C000021,62,Female,Lisbon,user21@example.com,Senior
C000022,23,Female,Lisbon,user22@example.com,Youth (16-24)
C000023,40,Male,Braga,user23@example.com,Adult (25-45)
C000024,42,Female,Faro,user24@example.com,Adult (25-45)
C000025,29,Male,Braga,user25@example.com,Adult (25-45)
C000026,65,Other,Faro,user26@example.com,Senior
C000027,36,Male,Porto,user27@example.com,Adult (25-45)
C000028,25,Male,Faro,Unknown,Adult (25-45)
C000029,51,Male,Porto,user29@example.com,Middle-aged (46-60)
C000030,37,Other,Coimbra,user30@example.com,Adult (25-45)
C000031,31,Other,Coimbra,user31@example.com,Adult (25-45)
C000032,36,Male,Faro,user32@example.com,Adult (25-45)
C000033,39,Male,Porto,user33@example.com,Adult (25-45)
C000034,26,Male,Lisbon,user34@example.com,Adult (25-45)
C000035,27,Male,Porto,user35@example.com,Adult (25-45)
C000036,54,Male,Porto,user36@example.com,Middle-aged (46-60)
C000037,50,Male,Lisbon,user37@example.com,Middle-aged (46-60)
C000038,40,Other,Lisbon,Unknown,Adult (25-45)
C000039,67,Male,Lisbon,user39@example.com,Senior
C000040,54,Male,Lisbon,user40@example.com,Middle-aged (46-60)
C000041,21,Other,Faro,user41@example.com,Youth (16-24)
C000042,52,Other,Coimbra,user42@example.com,Middle-aged (46-60)
C000043,55,Female,Lisbon,user43@example.com,Middle-aged (46-60)
C000044,35,Male,Faro,user44@example.com,Adult (25-45)
C000045,51,Other,Coimbra,user45@example.com,Middle-aged (46-60)
C000046,64,Male,Porto,user46@example.com,Senior
C000047,22,Male,Coimbra,user47@example.com,Youth (16-24)
C000048,19,Male,Porto,user48@example.com,Youth (16-24)
C000049,38,Female,Braga,user49@example.com,Adult (25-45)
C000050,29,Other,Porto,user50@example.com,Adult (25-45)
C000051,44,Other,Braga,user51@example.com,Adult (25-45)
C000052,39,Female,Porto,user52@example.com,Adult (25-45)
C000053,35,Female,Faro,user53@example.com,Adult (25-45)
C000054,43,Female,Coimbra,Unknown,Adult (25-45)
C000055,49,Female,Coimbra,user55@example.com,Middle-aged (46-60)
C000056,65,Other,Coimbra,user56@example.com,Senior
C000057,67,Other,Braga,user57@example.com,Senior
C000058,59,Other,Porto,user58@example.com,Middle-aged (46-60)
C000059,68,Female,Lisbon,user59@example.com,Senior
C000060,52,Other,Coimbra,user60@example.com,Middle-aged (46-60)
C000061,68,Male,Coimbra,user61@example.com,Senior
C000062,58,Male,Faro,user62@example.com,Middle-aged (46-60)
C000063,67,Other,Coimbra,user63@example.com,Senior
C000064,44,Male,Coimbra,user64@example.com,Adult (25-45)
C000065,49,Female,Braga,user65@example.com,Middle-aged (46-60)
C000066,21,Other,Braga,user66@example.com,Youth (16-24)
C000067,63,Female,Coimbra,user67@example.com,Senior
C000068,56,Other,Braga,user68@example.com,Middle-aged (46-60)
C000069,59,Other,Coimbra,user69@example.com,Middle-aged (46-60)
C000070,33,Female,Lisbon,user70@example.com,Adult (25-45)
C000071,64,Male,Faro,user71@example.com,Senior
C000072,29,Other,Porto,user72@example.com,Adult (25-45)
C000073,67,Male,Porto,user73@example.com,Senior
C000074,54,Other,Braga,user74@example.com,Middle-aged (46-60)
C000075,36,Other,Porto,user75@example.com,Adult (25-45)
C000076,47,Male,Porto,user76@example.com,Middle-aged (46-60)
C000077,30,Male,Lisbon,user77@example.com,Adult (25-45)
C000078,35,Male,Lisbon,user78@example.com,Adult (25-45)
C000079,48,Other,Braga,user79@example.com,Middle-aged (46-60)
C000080,18,Female,Lisbon,user80@example.com,Youth (16-24)
C000081,45,Female,Coimbra,user81@example.com,Adult (25-45)
C000082,45,Male,Lisbon,user82@example.com,Adult (25-45)
C000083,22,Female,Porto,user83@example.com,Youth (16-24)
C000084,18,Other,Faro,user84@example.com,Youth (16-24)
C000085,28,Other,Lisbon,user85@example.com,Adult (25-45)
C000086,53,Male,Lisbon,user86@example.com,Middle-aged (46-60)
C000087,59,Other,Faro,user87@example.com,Middle-aged (46-60)
C000088,69,Female,Porto,user88@example.com,Senior
C000089,44,Male,Lisbon,user89@example.com,Adult (25-45)
C000090,18,Male,Faro,user90@example.com,Youth (16-24)
C000091,47,Other,Faro,user91@example.com,Middle-aged (46-60)
C000092,59,Male,Faro,user92@example.com,Middle-aged (46-60)
C000093,19,Other,Braga,user93@example.com,Youth (16-24)
C000094,16,Female,Faro,user94@example.com,Youth (16-24)
C000095,69,Other,Lisbon,user95@example.com,Senior
C000096,28,Other,Faro,user96@example.com,Adult (25-45)
C000097,22,Male,Coimbra,user97@example.com,Youth (16-24)
C000098,27,Male,Braga,user98@example.com,Adult (25-45)
C000099,21,Male,Porto,user99@example.com,Youth (16-24)
C000100,26,Male,Coimbra,user100@example.com,Adult (25-45)
C000101,45,Other,Braga,user101@example.com,Adult (25-45)
C000102,20,Female,Coimbra,user102@example.com,Youth (16-24)
C000103,23,Other,Lisbon,user103@example.com,Youth (16-24)
